Event Name,Description,Audience,Cycle,Email,Website,Date,Duration,Venue,City,Country
CERAMICS EXPO 2024,"Exhibition and Conference dedicated to the ceramic industry supply chain. Learn about the latest industry developments, source next-generation materials, and make new business connections",Public,once a year,info@ceramicsexpousa.com,http://www.ceramicsexpousa.com/,2024-04-29,3,Suburban Collection Showplace,Novi,USA
HD EXPO 2024,Expo and Conference exclusively for the Hospitality Design Industry,Public,once a year,HospitalityDesign@experient-inc.com,http://www.hdexpo.com/,2024-04-30,3,Mandalay Bay Convention Center,Las Vegas,USA
WAUSAU - ROTHSCHILD GUN SHOW 2024,"Arms Expo. WAUSAU-ROTHSCHILD GUN SHOW features shooting rifles, shotguns, hunting knife, rifle spoke, bulletproof jackets, ear plugs, fishing accessories, gun safes & cases, ammo and laser optics",Public,unknown,,http://gunshowtrader.com/gunshows/wisconsin-gun-shows,2024-04-19,3,Central Wisconsin Convention & Expo Center,Wausau,USA
BETT BRAZIL - EDUCAR 2024,"International conference & exhibition for education, learning technologies & Information and Communications Technologies",Public,once a year,info@ascential.com,http://brasil.bettshow.com/,2024-04-23,4,Transamérica Expo Center,São Paulo,Brazil
THE FRANCHISE EXPO - OTTAWA 2024,North America's Franchise & Business Opportunities Event. THE FRANCHISE EXPO showcases the fastest growing franchises & business opportunities with thousands of potential franchisees & business partners eager ready to invest,Public,once a year,info@nationalevent.com,http://www.franchiseshowinfo.com/ottawa/visitor,2024-04-20,2,Ernst & Young Centre,Ottawa,Canada
HOME IMPROVEMENT & DESIGN EXPO - WHITE BEAR LAKE 2024,"Home Improvement & Design Show. Home Improvement & Design Expo WHITE BEAR LAKE will enable you to meet decorators, builders, remodelers, designers, suppliers and other professionals with expertise in the home improvement and design industry",Public,once a year,contact@minnesotahomeshows.com,http://minnesotahomeshows.com/show-schedule,2024-04-20,1,Hippodrome Ice Arena,White Bear Lake,USA
HEIMTEXTIL COLOMBIA 2024,International Trade Fair Floor Wall-Window Decoration & Furniture Fabrics Bed-Bath-Table & Kitchen Linen,Public,once a year,info@inexmoda.org.co,http://heimtextilcolombia.com/,2024-04-23,3,Plaza Mayor Medellín Convenciones y Exposiciones,Medellin,Colombia
RIO OIL & GAS EXPO 2024,Rio Oil & Gas Expo and Conference,Public,every 2 years,riooil@ibp.org.br,http://www.riooilgas.com.br/en,2024-09-23,4,RioCentro - Exhibition & Convention Center,Rio de Janeiro,Brazil
SALON DU VÉHICULE ÉLECTRIQUE DE MONTRÉAL 2024,Montreal Electric Vehicle Trade Show. One of the major events of the year in Canada for industry and the general public in the field of new technologies and electric transport and mobility,Public,once a year,info@svem.ca,http://svem.ebems.com/home.html,2024-04-19,3,"Stade Olympique, Montréal",Montreal,Canada
SUNCOAST BOAT SHOW 2024,"Boat Show in Sarasota. SUNCOAST BOAT SHOW features hundreds of Boats from 8 foot inflatables, power boats, fishing boats, center consoles, bow riders, personal watercraft to superyachts & a full range of marine electronics, products & accessories",Public,once a year,webmaster@nmma.org,http://www.suncoastboatshow.com/,2024-04-19,3,Marina Jack's,Sarasota,USA
CONSTRU EXPO 2024,International Construction & Building Fair,Public,every 2 years,mercadeoynegocios@casalco.org.sv,http://feriaconstruexpo.com/,2024-04-24,4,Centro Internacional de Ferias y Convenciones,San Salvador,Salvador
SPIE DEFENSE + COMMERCIAL SENSING 2024,"Exhibition & conferences for defense, security, industry and environment. The Defense, Security and Sensing Exhibition is the industry's leading exhibition with 500 top defense, security, and sensing contractors, suppliers, and integrators",Public,once a year,consumerservice@spie.org,http://spie.org/conferences-and-exhibitions/defense--commercial-sensing,2024-04-21,5,Gaylord National Resort and Convention Center,National Harbor,USA
PROVEDORES DE INTERNET + DATACENTERS 2024,Congress dedicated to Internet Providers and Data Centers,Public,once a year,fsf@arandanet.com.br,http://rtiprovedoresdeinternet.com.br/,2024-04-17,2,Centro de Eventos do Ceará,Fortaleza,Brazil
SOLAR & STORAGE MEXICO 2024,Solar Power Mexico is the first exhibition and conference specialized in the energy and solar technology segment,Public,once a year,info@hmexico.mx,http://www.hfmexico.mx/solarpowermexico,2024-04-17,3,Expo Guadalajara,Guadalajara,Mexico
SMALL BUSINESS EXPO PHILADELPHIA 2024,"Business Trade Show. Small Business Expo brings together thousands of business owners and decision-makers to network, attend business critical workshops, build new business relationships and shop from vendors that provide unique products & services",Public,once a year,info@theshowproducers.com,http://www.thesmallbusinessexpo.com/city/philadelphia-2,2024-04-17,1,The Wanamaker Building,Philadelphia,USA
WAUKESHA EXPO GUN SHOW 2024,"Guns & Knives show. WAUKESHA EXPO GUN SHOW presents automatic firearms, combat knife, militaria of war, fishing gears, antique pistols, cartridges, hunting accessories, gun cases & safes, self protection weapons and hi-tech optics",Public,unknown,,http://gunshowtrader.com/gunshows/wisconsin-gun-shows,2024-04-26,3,Waukesha County Expo Center,Milwaukee,USA
WORLD ORPHAN DRUG CONGRESS USA 2024,Biopharma Conference & Exhibition devoted to the Orphan Drug Industry in the USA,Public,once a year,william.horgan@terrapinn.com,http://www.terrapinn.com/conference/world-orphan-drug-congress-usa,2024-04-23,3,Boston Convention & Exhibition Center,Boston,USA
FENASOJA 2024,"National Soybean Fair, dedicated to companies related to the soybean production chain and others",Public,every 2 years,fenasoja@fenasoja.com.br,http://www.fenasoja.com.br/,2024-04-26,10,Parque Municipal de Exposições Alfredo Leandro Carlson,Santa Rosa,Brazil
FIRE RETARDANTS IN PLASTICS NORTH AMERICA 2024,Congress dedicated to Fire Retardants in Plastics. Exploring trends and technical developments in the international fire retardant industry,Public,once a year,consult@amiplastics-na.com,http://www.ami.international/events/upcoming,2024-04-23,2,Live! Casino & Hotel Philadelphia,Philadelphia,USA
OC HOME & GARDEN SHOW 2024,"Home improvements and remodeling show in Anaheim, CA. ORANGE COUNTRY HOME & GARDEN SHOW features furniture, kitchen appliances, bathroom designs, construction & renovation services, re-modeling ideas, interior designers...",Public,once a year,showofficehsc@gmail.com,http://www.homeshowconsultants.com/,2024-04-19,3,Anaheim Convention Center,Anaheim,USA
WORLD’S LEADING WINES CHICAGO 2024,"Sourcing Event for Wine Importers & Distributors. The World’s Leading Wines events are series of targeted trade tastings, networking events and dinners attended exclusively by the head wine buyers from leading importers and distributors",Public,once a year,info@worldsleadingwines.com,http://theworldsleadingwines.com/events_usa/chicago,2024-04-17,1,Park Hyatt Chicago,Chicago,USA
VINOTECH BRASIL 2024,Wine Process Expo,Public,every 2 years,mefazal99rehman@yahoo.com,http://www.envasebrasil.com.br/vinotech,2024-04-23,3,Fundaparque,Bento Gonçalves,Brazil
ANNAPOLIS SPRING SAILBOAT SHOW 2024,"Trade Show for boat industry and sailing items. ANNAPOLIS SPRING SAILBOAT SHOW features first sail workshop, newly designed sail boats, yachts, catamarans, trimarans, advanced tools, boating accessories, navigational equipment & high-tech electronics",Public,once a year,info@annapolisboatshows.com,http://www.annapolisboatshows.com/annapolis-spring-sailboat-show,2024-04-26,3,Annapolis City Dock,Annapolis,USA
THE ULTIMATE WOMEN'S SHOW - NEW-YORK 2024,"The Nation's Largest Women's Expos, combining the very best in shopping, speakers, makeovers and rejuvenation designed for the Ultimate Experience for women",Public,unknown,info@ultimatewomensshow.com,http://thewomensexpo.com/,2024-04-27,2,"New York, NY",New York,USA
INFOAGRO MÉXICO EXHIBITION 2024,"Agricultural Products Fair. Exhibitors will be able to present their products to visitors. In addition, they will have a B2B area, where they can chat with customers",Public,once a year,mexico@infoagro.com,http://mexicoinfoagroexhibition.com/,2024-04-24,3,Mazatlán International Center,Mazatlán,Mexico
CAPA AMERICAS AVIATION SUMMIT 2024,"The ""CAPA Americas Aviation and LCCs Summit"" is exploring the key strategic issues facing airlines, airports, and the wider travel industry in North America, as well as exploring wider global developments and sector-specific challenges",Public,once a year,events@centreforaviation.com,http://events.aviationweek.com/,2024-04-26,2,Ontario International Airport,Ontario,USA
ITS AMERICA CONFERENCE & EXPO 2024,"ITS America Conference & Expo will bring together the entire intelligent transportation community for thought-provoking education, networking, and demonstrations exploring the technologies and future solutions",Public,once a year,inquiry@reedexpo.com,http://www.itsamericaevents.com/expo/en-us.html,2024-04-22,4,Phoenix Convention Center,Phoenix,USA
NEW ENGLAND HOME SHOW - TOPSFIELD 2024,"Topsfield, MA Home and Garden Show",Public,once a year,richcastig@comcast.net,http://www.newenglandhomeshows.com/,2024-04-20,2,Topsfield Fairgrounds,Topsfield,USA
CALL & CONTACT CENTER EXPO - LAS VEGAS 2024,The Call & Contact Center Expo is the leading customer engagement and business intelligence event in US,Public,once a year,inquiries.ccmi@fortem-international.com,http://www.callandcontactexpo.us/,2024-04-24,2,Las Vegas Convention Center,Las Vegas,USA
THE ULTIMATE WOMEN'S SHOW - ARIZONA 2024,"The Nation's Largest Women's Expos, combining the very best in shopping, speakers, makeovers and rejuvenation designed for the Ultimate Experience for women",Public,twice a year,info@ultimatewomensshow.com,http://www.azwomensexpo.com/,2024-04-20,2,Phoenix Convention Center,Phoenix,USA
EMERGENCYTECH 2024,International Fair of Technology in Medical Emergency Services. The fair brings together the suppliers and representatives of the most important institutions in the Emergency Medical Services sector in Latin America,Public,once a year,feria.emergencytech@gmail.com,http://feria-emergencytech.com/,2024-09-01,1,Corferias - Centro de Convenciones,Bogotá,Colombia
TRUCK WORLD 2024,"Canada's Trucking Industry Trade Expo. Truck World is the Canadian meeting place for the trucking, transportation, supply chain, distribution, and logistics industries",Public,every 2 years,joanw@newcom.ca,http://www.truckworld.ca/,2024-04-18,3,"The International Centre, Toronto",Toronto,Canada
WORLD’S LEADING WINES SAN FRANCISCO 2024,"Sourcing Event for Wine Importers & Distributors. The World’s Leading Wines events are series of targeted trade tastings, networking events and dinners attended exclusively by the head wine buyers from leading importers and distributors",Public,once a year,info@worldsleadingwines.com,http://theworldsleadingwines.com/events_usa/sanfrancisco,2024-04-19,1,Fairmont San Francisco Hotel,San Francisco,USA
AGRISHOW 2024,Agrishow is the biggest and most important agricultural technology trade show in Brazil and one of the largest in the world,Public,once a year,agrishow@agrishow.com.br,http://www.agrishow.com.br/en/home.html,2024-04-29,5,Renaissance São Paulo Hotel,São Paulo,Brazil
C2E2 - CHICAGO COMIC & ENTERTAINMENT 2024,Chicago Comic & Entertainment Expo,Public,once a year,inquiry@reedexpo.com,http://www.c2e2.com/,2024-04-26,3,McCormick Place,Chicago,USA
ART MARKET SAN FRANCISCO 2024,Contemporary Art Fair in San Francisco,Public,once a year,info@amp.events,http://artmarketsf.com/,2024-04-25,4,Fort Mason Center,San Francisco,USA
SPIE DEFENSE + COMMERCIAL SENSING EXPO 2024,"Specialized conferences & exhibition dedicated to sensors, optics, imaging, lasers, and related areas for defense, security, industry, and the environment",Public,once a year,hermann@spieeurope.org,http://spie.org/conferences-and-exhibitions/defense--commercial-sensing,2024-04-21,5,Gaylord National Resort and Convention Center,National Harbor,USA
BETT BRASIL EDUCAR 2024,"Education Show. Bett Brasil Educar, Latin America’s largest education show & conference features a combination of the best products & services for the education sector with a selection of congresses & seminars featuring national & international specialis",Public,once a year,contato@bettbrasileducar.com.br,http://www.bettbrasileducar.com.br/,2024-04-23,4,Transamérica Expo Center,São Paulo,Brazil
AUVSI'S XPONENTIAL 2024,"Exhibition and conference on the latest developments in the unmanned systems technologies for air, land and sea",Public,once a year,info@auvsi.org,http://www.auvsi.org/events/xponential/xponential-2024?source=search-events,2024-04-22,4,San Diego Convention Center,San Diego,USA
ZAK WORLD OF FAÇADES - USA - LOS ANGELES 2024,Zak World of Façades is an International conference series on façade design & engineering,Public,once a year,info@zakgroup.com,http://zakworldoffacades.com/,2024-04-18,1,"Los Angeles, CA",Los Angeles,USA
THE FRANCHISE EXPO - CHICAGO 2024,North America's Franchise & Business Opportunities Event. THE FRANCHISE EXPO showcases the fastest growing franchises & business opportunities with thousands of potential franchisees & business partners eager ready to invest,Public,once a year,info@nationalevent.com,http://www.franchiseshowinfo.com/chicago/visitor,2024-04-27,2,Donald E. Stephens Convention Center,Chicago,USA
RE+ SOUTHEAST 2024,RE+ Southeast attracts energy professionals from across the solar and storage markets each year to facilitate business and connections,Public,once a year,customerservice@re-plus.com,http://re-plus.events/southeast,2024-04-17,2,Georgia World Congress Center,Atlanta,USA
INCENTIVE LIVE 2024,"Incentive Industry's Top Professionals Event. The biggest trends, the biggest influencers, the biggest spenders – all come together for three highly productive days",Public,once a year,cbinder@ntmllc.com,http://www.northstarmeetingsgroup.com/Events/Incentive-Live,2024-04-28,3,Fontainebleau Resort Las Vegas,Las Vegas,USA
RAPID + TCT 2024,Event focused on solutions for accelerating products to market. The Event for Printing and Additive Manufacturing Intelligence,Public,once a year,rapid.tct@sme.org,http://rapid3devent.com/,2024-04-23,3,Anaheim Convention Center,Anaheim,USA
ROCK ‘N’ ROLL NASHVILLE 2024,"The event offers 3 distances, Marathon, Half Marathon and 10K, so that everyone can enjoy the biggest running party in the country",Public,once a year,exposales@runrocknroll.com,http://www.runrocknroll.com/nashville,2024-04-27,2,"Nashville, TN",Nashville,USA
TRURO HOME & OUTDOOR SHOW 2024,"Home & Outdoor Show. All your home, outdoor, and lifestyle products in one place",Public,once a year,info@masterpromotions.ca,http://www.trurohomeshow.ca/,2024-04-19,3,Rath Eastlink Community Centre,Truro,Canada
BOOKEXPO AMERICA 2024,The largest publishing event in North America,Public,once a year,inquiry@bookexpoamerica.com,http://www.bookexpoamerica.com/,2024-05-01,1,Jacob K. Javits Convention Center,New York,USA
APAS 2024,"One of the largest fairs for food, beverages, personal hygiene, cleaning products, equipment and supermarket technology worldwide",Public,once a year,relacionamento@apas.com.br,http://feiraapas.com.br/?lang=en,2024-05-01,1,Expo Center Norte,São Paulo,Brazil
BAKERY SHOWCASE - TORONTO 2024,"Bakery Trade Show and Conference. The latest baking ingredients, equipment, services, technology and baked goods. A perfect opportunity to meet qualified buyers, increase brand awareness, launch new products & services",Public,every 2 years,mbarnett@baking.ca,http://www.bakeryshowcasecanada.ca/location/toronto,2024-05-05,2,Toronto Congress Centre,Toronto,Canada
BUSINESS ANALYST WORLD - TORONTO 2024,"Practical Skills and the Latest Products to get Projects Done on-Time, on-Budget and on-Expectation. ProjectWorld * BusinessAnalystWorld offers a unique experience for attendees, bringing together experts, practitioners, certifying bodies & service",Public,once a year,custserv@divcom.com,http://www.pmbaconferences.com/toronto/home.html,2024-05-01,1,Metro Toronto Convention Centre,Toronto,Canada
BABY & MATERNITY EXPO HUNTSVILLE 2024,"BABY & MATERNITY EXPO HUNTSVILLE features all baby products, clinical advice on maternity, natural parenting workshops, child life services, neonatal care, yoga for pregnant, pediatrics",Public,once a year,,http://babypalooza.com/events,2024-05-01,1,Von Braun Center,Huntsville,USA
MODERN DAY MARINE MILITARY EXPOSITION 2024,"Military equipment, systems, services and technology exposition. Modern Day Marine is co-sponsored by Marine Corps Base, Quantico, the Exposition's home base",Public,once a year,jaymie.nielsen@emeraldexpo.com,http://marinemilitaryexpos.com/modern-day-marine/home,2024-04-30,3,Walter E. Washington Convention Center,Washington D.C.,USA
CALGARY PET EXPO 2024,"Pet Expo. At the CALGARY PET EXPO you will find hundreds of pets, pet products, service providers, entertainers, clubs and organizations that cater to pets",Public,once a year,info@cannorthshows.com,http://calgarypetexpo.com/,2024-05-01,1,Spruce Meadows,Calgary,Canada
THE ULTIMATE WOMEN'S SHOW - ORANGE COUNTY 2024,"The Nation's Largest Women's Expos, combining the very best in shopping, speakers, makeovers and rejuvenation designed for the Ultimate Experience for women",Public,once a year,info@ultimatewomensshow.com,http://thewomensexpo.com/,2024-05-04,2,Anaheim Convention Center,Anaheim,USA
SALON STUDYRAMA DES ETUDES SUPÉRIEURES DE NICE 2024,Student and Training Fair in Nice,Public,once a year,salons@studyrama.com,http://www.studyrama.com/salons/salon-studyrama-grandes-ecoles-de-nice-83,2024-01-19,2,Palais des Expositions de Nice,Nice,France
MEET - MECHANICAL ELECTRICAL ELECTRONIC TECHNOLOGY 2024,"Trade Show of Mechanical, Electrical, Electronic Technologies. MEET is the second largest event for industry in Canada and THE largest trade event east of Montreal",Public,every 2 years,smurphy@mpltd.ca,http://www.meetshow.ca/,2024-05-01,2,Moncton Coliseum Complex,Moncton,Canada
APAS SHOW 2024,"Congress and trade fair for supermarkets. Food, Beverages, Beauty, Health, Hygiene, Groceries, Perishables, Frozen, Dairy, Pet Stores, Supplies and Packaging, Automation and Technology, Services...",Public,once a year,central.apas@apas.com.br,http://www.apasshow.com/,2024-05-01,1,Expo Center Norte,São Paulo,Brazil
NBAA MAINTENANCE CONFERENCE 2024,Maintenance Conference will provide vital education and networking opportunities for anyone involved in business aircraft maintenance – from technicians to directors of maintenance,Public,once a year,exhibits@nbaa.org,http://nbaa.org/events,2024-04-30,3,"Portland, OR",Portland,USA
SUPPLIERS' DAY 2024,"Cosmetics Suppliers Show. The Supplier's Day is a 2-day event wich offers an excellent opportunity to present new products as well as discuss the latest innovations with technical, marketing, and business associates from around the world",Public,once a year,suppliersdaychair@nyscc.org,http://nyscc.org/suppliers-day,2024-05-01,2,Jacob K. Javits Convention Center,New York,USA
AGROBALSAS 2024,"AgroBalsas is the largest agribusiness event in Maranhão (Brazil). It offers annual development, innovation, transfer of national and international information, advanced technology",Public,once a year,agrobalsas@fapcen.org.br,http://fapcen.org.br/agrobalsas,2024-05-01,1,Fazenda Sol Nascente,Balsas,Brazil
EXPO MAMÁ 2024,"EXPO MAMÁ will exhibit the best in products and services aimed at mothers and the smallest of the home. From baby strollers, maternity clothing, to specialized courses",Public,once a year,mujer@fexpocruz.com.bo,http://fexpocruz.com.bo/expomama,2024-05-01,1,Feria Exposicion de Santa Cruz,Santa Cruz de la Sierra,Bolivia
DUG PERMIAN BASIN 2024,Conference & expo focusing on the gas industry's business challenges and opportunities in identifying and developing unconventional resources,Public,once a year,conferences@hartenergy.com,http://www.dugpermian.com/,2024-05-01,1,Fort Worth Convention Center,Fort Worth,USA
RONDÔNIA RURAL SHOW INTERNACIONAL 2024,"Rondônia International Agrarian Fair. Agriculture, machinery, tractors, cattle, fish farming, animal husbandry, agro-industry, trucks, farm tools, construction materials and electricity, solar power, automotive parts and services, automation, clothing...",Public,once a year,edson.ferreira@seagri.ro.gov.br,http://www.rondoniaruralshow.ro.gov.br/,2024-05-01,1,Centro Tecnológico Vandeci Rack,Ji-Paraná,Brazil
ZAK WORLD OF FAÇADES - USA - SAN FRANCISCO 2024,Zak World of Façades is an International conference series on façade design & engineering,Public,once a year,info@zakgroup.com,http://zakworldoffacades.com/,2024-05-01,1,Parc 55 Hotel,San Francisco,USA
TATTOO MUSIC FEST 2024,Tattoo and Music Festival,Public,once a year,tattoomusicfest@gmail.com,http://tattoomusicfest.co/,2024-05-01,1,Corferias - Centro de Convenciones,Bogotá,Colombia
FUNCTIONAL FILLERS NORTH AMERICA 2024,"Congress dedicated to Functional Fillers. Aimed at compounders, masterbatch makers, plastics processors and end-users from all markets, this two-day event covers the latest developments in functional fillers and their applications",Public,once a year,consult@amiplastics-na.com,http://www.ami.international/events/upcoming,2024-05-01,1,Sheraton Philadelphia Downtown Hotel,Philadelphia,USA
MUKWONAGO GUN SHOW 2024,"Arms & Ammunition Fair. MUKWONAGO GUN SHOW features shooting rifles, combat knives, samurai swords, fishing tackle, muzzle load, hunting accessories, gun cases & safes, holsters, outdoor survival gears and hi-tech optics",Public,twice a year,,http://gunshowtrader.com/gun-shows/mukwonago-gun-show,2024-05-01,1,Mukwonago Field Park,Mukwonago,USA
THE FRANCHISE EXPO - LAS VEGAS 2024,North America's Franchise & Business Opportunities Event. THE FRANCHISE EXPO showcases the fastest growing franchises & business opportunities with thousands of potential franchisees & business partners eager ready to invest,Public,once a year,info@nationalevent.com,http://www.franchiseshowinfo.com/las-vegas/visitor,2024-05-04,2,"World Market Center, Las Vegas",Las Vegas,USA
CONNECTIONS 2024,International Executive Conference for Digital Home Technologies,Public,once a year,info@parksassociates.com,http://www.connectionsconference.com/,2024-05-01,1,Omni Frisco Hotel,Frisco TX,USA
AEE EAST CONFERENCE & EXPO 2024,"AEE East brings together energy professionals from commercial, industrial, institutional, and governmental sectors to learn about the latest energy-saving strategies, products, services, and technologies",Public,once a year,info@aeecenter.org,http://aeewest.org/,2024-05-01,2,Hynes Convention Center,Boston,USA
TRUXPO 2024,Trucking and Logistic Industries Expo,Public,every 2 years,info@masterpromotions.ca,http://www.truxpo.com/,2024-05-01,1,Tradex,Abbotsford,Canada
AES CONVENTION 2024,"International Audio Congress and Trade Fair. The largest gatherings of audio professionals in the world, AES Conventions are held annually in both the United States and Europe",Public,twice a year,custserv@divcom.com,http://aes2.org/event/conventions,2024-05-01,1,Jacob K. Javits Convention Center,New York,USA
DUG PERMIAN + EAGLE FORD 2024,Conference & expo focusing on the gas industry's business challenges and opportunities in identifying and developing unconventional resources,Public,once a year,info@hartenergy.com,http://www.hartenergyconferences.com/dug-permian-basin,2024-05-01,1,Fort Worth Convention Center,Fort Worth,USA
SMALL BUSINESS EXPO DETROIT 2024,"Business Trade Show. Small Business Expo brings together thousands of business owners and decision-makers to network, attend business critical workshops, build new business relationships and shop from vendors that provide unique products & services",Public,once a year,info@theshowproducers.com,http://www.thesmallbusinessexpo.com/,2024-05-01,1,Fort Pontchartrain a Wyndham Hotel,Detroit,USA
WANTEDDESIGN BROOKLIN 2024,WantedDesign design is a platform dedicated to promoting and fostering the international creative community throughout the year,Public,once a year,info@wanteddesignnyc.com,http://www.wanteddesignnyc.com/,2024-05-01,1,Industry City,New York,USA
SMALL BUSINESS EXPO NEW-YORK 2024,"Business Trade Show. Small Business Expo brings together thousands of business owners and decision-makers to network, attend business critical workshops, build new business relationships and shop from vendors that provide unique products & services",Public,once a year,info@theshowproducers.com,http://www.thesmallbusinessexpo.com/city/new-york-city-2,2024-05-02,1,Jacob K. Javits Convention Center,New York,USA
ANPIC 2024,"Shoe Machinery and Equipment, Tanning Machinery and Equipment, Hides and Leathers",Public,twice a year,anpic@anpic.com,http://www.anpic.com/,2024-05-01,1,Poliforum Leon,León,Mexico
ENERGY SOLUTIONS SHOW 2024,"Electric Power Generation Exhibition in Brazil. Production, transport, distribution, energy efficiency, free market, production and storage. Expo, conferences, workshops",Public,once a year,lucila.rocco@informa.com,http://www.energysolutionsshow.com.br/,2024-09-01,1,São Paulo Expo Exhibition & Convention Center,São Paulo,Brazil
VICENZA ORO 2024,"International Show dedicated to Gold and Silverware, Jewelry and Gemology",Public,twice a year,info@vicenzafiera.it,http://www.vicenzaoro.com/en,2024-01-19,5,Fiera di Vicenza,Vicenza,Italy
HOME IMPROVEMENT & DESIGN EXPO - WOODBURY 2024,"Home Improvement & Design Show. Home Improvement & Design Expo WOODBURY will enable visitors to meet with decorators, builders, remodelers, designers, suppliers and other professionals with expertise in the home improvement and design industry",Public,once a year,contact@minnesotahomeshows.com,http://minnesotahomeshows.com/show-schedule,2024-05-04,1,HealthEast Sports Center,Woodbury,USA
AEE WEST CONFERENCE & EXPO 2024,"AEE West brings together energy professionals from commercial, industrial, institutional, and governmental sectors to learn about the latest energy-saving strategies, products, services, and technologies",Public,once a year,info@aeecenter.org,http://aeewest.org/,2024-05-01,2,Meydenbauer Center,Bellevue,USA
VOLTA NY 2024,VOLTA NY is the invitational fair of solo artist projects and is the American incarnation of the original Basel VOLTA show,Public,once a year,propertymanager@themart.com,http://voltashow.com/,2024-05-01,1,New York Pier 90,New York,USA
ANUTEC BRAZIL 2024,The largest fair for the Meat and Animal Protein Industry,Public,every 2 years,info@koelnkongress.de,http://www.anutecbrazil.com/,2024-05-01,1,Expo Unimed Curitiba,Curitiba,Brazil
EDMUNDSTON HOME & OUTDOOR SHOW 2024,"Edmundston Home & Outdoor Show. Products and services for home building and renovation, along with powersports and outdoor activities - plus adventure tourism destinations",Public,once a year,info@masterpromotions.ca,http://www.edmundstonhos.ca/,2024-05-03,3,Centre Jean-Daigle,Edmundston,Canada
SOBRE RUEDAS 2024,"Automotive, Motorcycle, Bike & Autoparts Trade Show. At this event, the latest innovations in technology, electric vehicles, as well as outdoor exhibitions and demonstrations are presented",Public,once a year,feicobol@feicobol.com.bo,http://www.feicobol.com.bo/,2024-05-01,1,Recinto Ferial de Alalay,Cochabamba,Bolivia
SALON INDUSTRIEL SAGLAC 2024,"Industrial Expo in the Saguenay-Lac-Saint-Jean region. The event brings together distributors, suppliers and service companies with the know-how needed for development and growth of businesses in the region",Public,every 2 years,info@promoapageau.com,http://salonsindustriels.com/en,2024-05-01,1,UQAC pavillon sportif,Saguenay,Canada
STREAMING MEDIA EAST 2024,Internet Audio and Video Event,Public,once a year,help@streamingmedia.com,http://www.streamingmedia.com/east,2024-05-01,1,"The Westin Copley Place, Boston",Boston,USA
SAN FRANCISCO CHRO 2024,Human Resource Congress. CHRO (Chief Human Resources Officer) SUMMIT gives the oportunity to share best practices and develop leadership skills that enhance organization's ability to impact the local and global business climate,Public,twice a year,info@evanta.com,http://www.evanta.com/calendar,2024-05-01,1,"San Francisco, CA",San Francisco,USA
COVINGTON GUNS & KNIFE SHOW 2024,"Self-protection weapon Expo. COVINGTON GUNS & KNIFE SHOW presents automatic shotguns, shooting rifle, hunting knives, fishing gears, pistols, cartridges, display cases, gun safes, ear plugs, ammo, flashlight, safety gadgets, laser optics...",Public,once a year,MWXmarketing@aol.com,http://www.greatamericanpromotionsllc.com/,2024-05-01,1,"National Guard Armory, Covington",Covington,USA
SUPER DUG CONFERENCE & EXHIBITION 2024,"SUPER DUG focuses on the shale plays of the Permian Basin, Eagle Ford, Bakken, Midcontinent and the Rockies. These five major plays constitutes the super majority of all shale drilling in the continental U.S",Public,once a year,info@hartenergy.com,http://www.hartenergyconferences.com/dug-rockies,2024-05-15,3,Fort Worth Convention Center,Fort Worth,USA
WASTE EXPO 2024,"Waste and Recycling Market International Exhibition. WASTE EXPO attracts decision makers representing the private sector, public sector/municipalities and waste generators, waste processors, dealers/distributors, and all other segments of the industry",Public,once a year,mark.hickey@informa.com,http://www.wasteexpo.com/en/home.html,2024-05-06,4,Las Vegas Convention Center,Las Vegas,USA
SMALL BUSINESS EXPO BOSTON 2024,"Business Trade Show. Small Business Expo brings together thousands of business owners and decision-makers to network, attend business critical workshops, build new business relationships and shop from vendors that provide unique products & services",Public,once a year,info@theshowproducers.com,http://www.thesmallbusinessexpo.com/,2024-05-08,1,Westin Boston Seaport District,Boston,USA
COATECH 2024,"International Exhibition of Paint & Powder Coatings, Industrial Cleaning and Corrosion Control Industries control",Public,once a year,informes@coatechmexico.com.mx,http://mexico.fabtechexpo.com/,2024-05-07,3,Centro Citibanamex,Mexico City,Mexico
CANADIAN TULIP FESTIVAL - FESTIVAL CANADIEN DES TULIPES 2024,"Ottawa's world-renowned Canadian Tulip Festival celebrates the Canadian capital's love of the tulip. It commemorates the sacrifice of more than 7, 500 Canadian soldiers during the liberation of the Netherlands",Public,once a year,info@tulipfestival.ca,http://tulipfestival.ca/,2024-05-10,11,Commissioners Park,Ottawa,Canada
FEIMEC 2024,"FEIMEC - International Fair of Machine Tools and Equipment, consolidated as one of the largest events in Latin America in the industry",Public,every 2 years,marketing.feimec@informa.com,http://www.feimec.com.br/en/home.html,2024-05-07,5,São Paulo Expo Exhibition & Convention Center,São Paulo,Brazil
MINNEAPOLIS CHRO 2024,Human Resource Congress. CHRO (Chief Human Resources Officer) SUMMIT gives the oportunity to share best practices and develop leadership skills that enhance organization's ability to impact the local and global business climate,Public,twice a year,info@evanta.com,http://www.evanta.com/calendar,2024-05-08,1,Hyatt Regency Minneapolis,Minneapolis,USA
TEFAF NEW YORK - SPRING 2024,Modern and Contemporary Art and Design Fair,Public,once a year,info@tefafny.com,http://www.tefaf.com/fairs/tefaf-new-york-spring,2024-05-10,5,Park Avenue Armory,New York,USA
