event_name,description,audience,cycle,website,email,date_uncertain,date,duration_days,venue_name,city,state,country
CONCORD GUN & KNIFE SHOW 2024,"Arms and Ammunition Fair. CONCORD FALL GUN & KNIFE SHOW features shooting rifles, handguns, shotguns, combat knives, samurai swords, cartridges, antique coins, hunting and fishing accessories, carbines, coins and defense weapons",Public,unknown,http://www.cegunshows.com/about-us.html,info@showmastersgunshows.com,False,2024-02-24,2,Cabarrus Arena & Events Center Concord,Concord,NC,USA
GUNS & KNIFE SHOW ALBANY 2024,"Arms and Ammunition fair. GUNS & KNIFE SHOW ALBANY presents all types of firearms, training, combat knives & swords, fishing gears, antique pistols, cartridges, hunting accessories, gun cases & safes, self protection weapons and outdoor equipment",Public,unknown,http://www.gemcapitolshows.com/,tiamalle@aol.com,False,2024-02-24,2,Hasin Shrine Temple,Albany,GA,USA
MINNEAPOLIS HOME + GARDEN SHOW 2024,"Home, Gardening, Remodelling and Home Decor show. Minneapolis, MN Home and Garden Show will give you the opportunity to meet over 1, 000 experts and experience thousands of products and services",Public,once a year,http://www.homeandgardenshow.com/,rosannah@marketplaceevents.com,False,2024-02-21,5,,,,USA
BAKERSFIELD GUNS & KNIFE SHOW 2024,"Arms & Ammunition fair. BAKERSFIELD GUNS & KNIFE SHOW features shooting rifles, shotguns, combat knives, samurai swords, muzzle load, collectibles & antique, hunting and fishing accessories, war relics, carbines, self protection items and laser sights",Public,unknown,http://www.crossroadsgunshows.com/,gunshows@crossroadsgunshows.com,False,2024-02-17,2,Kern County Fair,Bakersfield,CA,USA
INTERNATIONAL POTATO TECHNOLOGY EXPO 2024,"Leading Trade Show for the Potato Industry in North America. This international event has proven to be a highly successful convention that centers around all facets of the potato industry. From seed, to soil, to growing, to harvesting, etc.",Public,every 2 years,http://potatoexpo.ca/,info@masterpromotions.ca,False,2024-02-22,2,Eastlink Centre,Charlottetown,PE,Canada
"MADISON BUILD, REMODEL & LANDSCAPE SHOW 2024","Build, Remodel & Landscape Expo. The Madison Build, Remodel & Landscape Show will connect you to the area’s leading remodelers, builders, and design professionals",Public,once a year,http://www.homeshowcenter.com/overview/madison2,info@homeshowcenter.com,False,2024-02-23,3,Monona Terrace Convention Center,Madison,WI,USA
RENO GUNS & KNIFE SHOW 2024,"Arms & Ammunition fair. RENO GUNS & KNIFE SHOW features shooting rifles, shotguns, combat knives, samurai swords, muzzle load, collectibles & antique, hunting and fishing accessories, war relics, carbines, self protection items and laser sights",Public,unknown,http://www.crossroadsgunshows.com/venue/reno-convention-center,gunshows@crossroadsgunshows.com,False,2024-02-17,2,Reno-Sparks Convention Center,Reno,NV,USA
RV & BOAT MAIN SALES EVENT 2024,"RV & Boat Trade Show. Hundreds of RVs & boats and something for everyone! Travel Trailers, 5th Wheels, Fishing boats, Pontoons, Waterskiing, Docks, Campgrounds, golf carts and more...",Public,once a year,http://www.rvboatmainevent.com/,info@rvboatmainevent.com,False,2024-02-23,3,EAA Wearhouse,Oshkosh,WI,USA
AEROSPACE MEETINGS QUERETARO 2024,International Business Convention for the Aerospace Industry,Public,every 2 years,http://www.mexico.bciaerospace.com/,latinamericas@advbe.com,False,2024-02-21,2,Centro de Congresos Queretaro,Querétaro,,Mexico
ACCESS MBA - CALGARY 2024,ACCESS MBA is a communication campaign specifically designed to better inform prospective students of existing MBA opportunities. ACCESS MBA is a series of events organised around the world,Public,once a year,http://www.accessmba.com/tour,coutat@advent-communication.net,False,2024-02-17,1,"Calgary, AB",Calgary,AB,Canada
AEMA-ARRA-ISSA ANNUAL MEETING 2024,"The Asphalt Emulsion Manufacturers Association, the Asphalt Recycling & Reclaiming Association and the International Slurry Surfacing Association Annual Meeting",Public,once a year,http://www.aema.org/,krissoff@aema.org,False,2024-02-19,5,"Palm Harbor, FL",Palm Harbor,FL,USA
"LONDON BOAT, FISHING & OUTDOOR SHOW 2024","Boat, Fishing & Outdoor Show",Public,once a year,http://www.ontarioboatshows.com/,info@continuumevents.ca,False,2024-02-23,3,"Western Fair, Canada Building",London,ON,Canada
THE NAUGHTY BUT NICE SHOW - REGINA 2024,"The Taboo Naughty but Nice Sex Show provides an upscale adult playground dedicated to enhancing lifestyles, encouraging romance, personal betterment and all things Taboo",Public,once a year,http://tabooshow.com/regina,tickets@canwestproductions.com,False,2024-02-23,3,Conexus Arts Centre,Regina,SK,Canada
DOSWELL GUN SHOW 2024,"Southeastern Guns & Knives Show. Founded in 1982 by ""Doc"" Mendelson, The SGK Show carries on the uniquely American tradition of Gun Shows",Public,unknown,http://sgkshows.com/,bmcloughlin@bmg1.com,False,2024-02-24,2,Meadow Event Park,Richmond,VA,USA
DES MOINES HOME + GARDEN SHOW 2024,"Des Moines City, IA Home & Garden Show. Innovative Products and Hundreds of Experts all Under One Roof",Public,once a year,http://www.desmoineshomeandgardenshow.com/,jessicab@marketplaceevents.com,False,2024-02-22,4,,,,USA
SAN ANTONIO HOME & GARDEN SHOW - SPRING 2024,"San Antonio, TX Home & garden Show. Innovative Products and Hundreds of Experts all Under One Roof",Public,once a year,http://sanantoniospringhomeshow.com/,rosannah@marketplaceevents.com,False,2024-02-23,3,The Alamodome,San Antonio,TX,USA
GIFT + HOME MARKET ALBERTA 2024,"Home, gift and lifestyle show. At Gift + Home Market Alberta discover the finest mix of gifts; from jewellery & fashion accessories to gourmet food, home décor and gardening, bath & body products, items both manufactured and made by hand in Canada",Public,once a year,http://canadagiftshows.ca/,alberta@cangift.org,False,2024-02-25,3,,,,Canada
THE OUTDOOR ADVENTURE SHOW - TORONTO 2024,"Show for outdoor and adventure enthusiasts. The Outdoors Show features products for Walking, hiking, mountaineering, camping, photography, canoeing, cycling, mountain biking & sailing. Great deals from retailers like new products, outdoor organisations",Public,once a year,http://outdooradventureshow.ca/toronto,info@nationalevent.com,False,2024-02-23,3,"The International Centre, Toronto",Toronto,ON,Canada
FANEXPO VANCOUVER 2024,"International Comics, Sci6fi, Horror, Anime & Gaming Festival in Vancouver",Public,once a year,http://fanexpovancouver.com/,info@fanexpohq.com,False,2024-02-17,3,Vancouver Convention Centre,Vancouver,BC,Canada
PITTCON '2024,"Technical Program and Exhibition for all Scientists who utilize Analytical Instrumentation, Equipment and Techniques. Pittcon is the leading showcase for scientific and technical innovation with a singular focus on laboratory science",Public,once a year,http://www.pittcon.org/,expo@pittcon.org,False,2024-02-24,5,San Diego Convention Center,San Diego,CA,USA
PENNSYLVANIA RV SUPER SHOW 2024,"This trade show is featuring the very latest makes and models of Recreational Vehicles from all of the nations top manufacturers. Special factory rebates, financing, and on the spot loan approval makes this show a cannot miss for the serious Recreational",Public,once a year,http://www.parvsupershow.com/,,False,2024-02-22,4,,,,USA
HOME & GIFT & TÊXTIL 2024,The largest and most comprehensive decoration & homeware exhibition in Latin America,Public,once a year,http://www.abup.com.br/en/homegift-textil,abup@abup.com.br,False,2024-02-18,4,,,,Brazil
MINES AND MONEY AMERICAS 2024,Mines and Money Americas is bringing world-renowned expertise and are partnering with the biggest names in the business to connect miners with money and investors with opportunity,Public,once a year,http://americas.minesandmoney.com/,engage@minesandmoney.com,False,2024-02-22,2,"Miami, FL",Miami,FL,USA
SPIE MEDICAL IMAGING 2024,"Specialized Conference on medical imaging. SPIE Medical Imaging conference offers the latest information on digital pathology; tomography; image processing, perception, registration, informatics, and segmentation; computer-aided diagnosis; & ultrasound",Public,once a year,http://spie.org/conferences-and-exhibitions/medical-imaging,customerservice@spie.org,False,2024-02-18,5,Town and Country Resort & Convention Center,San Diego,CA,USA
CAPITAL REMODEL + GARDEN SHOW 2024,"The Capital Home Show is the place to experience an abundance of design inspiration, remodelling tips and new ideas",Public,once a year,http://capitalremodelandgarden.com/,alysonc@marketplaceevents.com,False,2024-02-23,3,Dulles Expo & Conference Center,Fairfax,VA,USA
OTTAWA BOAT SHOW 2024,Boat and Outdoor Trade Fair,Public,once a year,http://www.ottawaboatshow.ca/,ssprague@mpltd.ca,False,2024-02-22,4,Ernst & Young Centre,Ottawa,ON,Canada
PORTLAND HOME & GARDEN SHOW 2024,"Home and Garden Show. Portland Fall Home & Garden Show draws qualified buyers who are looking for solutions to their needs. Exhibitors do half or more of their annual sales at the show, and their total sales are doubling and even tripling as a result",Public,once a year,http://www.homeshowpdx.com/,homeandgardenshows@hbapdx.org,False,2024-02-22,4,Portland Expo Center,Portland,OR,USA
SAO PAULO BOAT SHOW 2024,"The largest nautical event in Latin America. The great trends and releases with the best innovations in boats, jets, inflatables, engines and equipment, and also a complete range of products & services related to the nautical universe",Public,once a year,http://www.saopauloboatshow.com.br/,info@boatshow.com.br,True,2024-09-01,1,,,,Brazil
CALGARY HOME + GARDEN SHOW 2024,"Calgary Home and Garden Show is the place to experience an abundance of design inspiration, remodelling tips and new ideas",Public,once a year,http://calgaryhgs.com/,rosannah@marketplaceevents.com,False,2024-02-22,4,,,,Canada
PROGRESSIVE INSURANCE ATLANTIC CITY BOAT SHOW 2024,Boat Show,Public,once a year,http://www.acboatshow.com/,webmaster@nmma.org,False,2024-02-28,5,Atlantic City Convention Center,Atlantic City,NJ,USA
HORSE WORLD EXPO 2024,"Horse World Expo and Theatre Equus. MARYLAND HORSE WORLD EXPO is a Consumer Trade Show Open to the Public, Hundreds of Vendors Selling a Variety of Horse Products",Public,once a year,http://wordpress1.horseworldexpo.com/,info@horseworldexpo.com,False,2024-02-29,4,,,,USA
PENNSYLVANIA HORSE WORLD EXPO 2024,"Horse World Expo and Theatre Equus. MARYLAND HORSE WORLD EXPO is a Consumer Trade Show Open to the Public, Hundreds of Vendors Selling a Variety of Horse Products",Public,once a year,http://wordpress1.horseworldexpo.com/,info@horseworldexpo.com,False,2024-02-29,4,,,,USA
JA NEW YORK 2024,Finest Jewelry Designers and Manufacturers Show. JA New York helps jewelry professionals to keep competitive in the jewelry retail marketplace,Public,3 times a year,http://www.ja-newyork.com/,info@emeraldexpo.com,True,2024-03-01,1,,,,USA
DISTRIBUTECH 2024,"Premier Symposium for the Competitive and Rapidly Evolving Utility Automation, Energy Buying, Selling and Technology Industry",Public,once a year,http://www.distributech.com/,distributech@compusystems.com,False,2024-02-27,3,,,,USA
SPIE ADVANCED LITHOGRAPHY 2024,Advanced Lithography Conference and Expo,Public,once a year,http://www.spie.org/advanced-lithography.xml,customerservice@spie.org,False,2024-02-25,5,San Jose McEnery Convention Center,San Jose,CA,USA
EXPOAUTO 2024,Santa Cruz Motor Show,Public,once a year,http://fexpocruz.com.bo/ferias/expoauto,feria@fexpocruz.com.bo,True,2024-03-01,1,Feria Exposicion de Santa Cruz,Santa Cruz de la Sierra,,Bolivia
PVC FORMULATION NORTH AMERICA 2024,Forum for discovering the latest global trends in PVC innovations to optimise and add value to your formulations,Public,once a year,http://www.ami.international/events/upcoming,info@amiplastics.com,False,2024-02-27,2,The Westin Cleveland Downtown,Cleveland,OH,USA
WEST MICHIGAN HOME & GARDEN SHOW 2024,West Michigan's largest Home & Garden show,Public,once a year,http://showspan.com/WMH,events@showspan.com,False,2024-02-29,4,,,,USA
JIS SPRING 2024,"JIS Spring is where jewelry industry professionals grow their businesses and deepen relationships with suppliers. Discover new products, trends, and suppliers as you restock inventory for Mother’s Day, wedding season, graduation & other major milestones",Public,unknown,http://www.jisshow.com/spring/en-us.html,jisshow@rxglobal.com,True,2024-03-01,1,Miami Beach Convention Center,Miami,FL,USA
VITRINA TURISTICA ANATO 2024,"Tourism Fair in Colombia, organized by ANATO (Asociación Colombiana de Agencias de Viajes y Turismo)",Public,once a year,http://vitrinaturistica.anato.org/en,anato@anato.org,False,2024-02-28,3,,,,Colombia
FICAD 2024,"International Trade Show of Construction, Architecture and Design",Public,once a year,http://fexpocruz.com.bo/ficad,feria@fexpocruz.com.bo,True,2024-03-01,1,Feria Exposicion de Santa Cruz,Santa Cruz de la Sierra,,Bolivia
EDUCATION & CAREER FAIRS - OTTAWA 2024,"Education & Career Fair. ECF's mission is to provide high school students, parents, teachers and counselors with thousands of post-secondary options from around the world",Public,once a year,http://www.educationcareerfairs.com/,vancouver@icsevents.com,False,2024-03-01,1,"Ottawa, ON",Ottawa,ON,Canada
ATLANTIC GOLF SHOW 2024,"Golf Show in Newfoundland, Nova Scotia, Prince Edward Island, New Brunswick",Public,once a year,http://www.canadiangolfexpo.ca/events/atlantic-golfexpo,gchambers@ngcoa.ca,True,2024-03-01,1,"Fredericton, NB",Fredericton,NB,Canada
BONITA SPRING BOAT SHOW 2024,Annual Boat Show. From skiffs to offshore fishing boats,Public,once a year,http://goboatingflorida.com/events-calendar,info@swfmia.com,False,2024-02-29,4,The Bonita Springs Poker Room,Bonita Springs,FL,USA
AERO-ENGINES AMERICA 2024,"Aero-Engines America is a two day conference attracting senior engine attendees. This leading event is dedicated to the trends and issues related to the region’s aero engine community, gathering stakeholders from across the value chain",Public,once a year,http://www.aeroengineconference.com/en,events@aviationweek.co.uk,False,2024-02-29,2,"JW Marriott Turnberry, Miami, FL",Miami,FL,USA
JACKSONVILLE HOME + PATIO SHOW (SPRING ) 2024,"Jacksonville, FL Home and Garden Show. The Jacksonville Home & Patio Show reveals the newest in Home, Remodelling, Home Decor, and More! The show offers the opportunity to meet hundreds of experts and experience thousands of products & services",Public,once a year,http://marketplaceevents.com/our-shows,hillaryl@marketplaceevents.com,False,2024-03-01,3,Prime Osborn Convention Center,Jacksonville,FL,USA
CAD CAM CERAMIC RESTORATIONS IN AESTHETIC DENTISTRY 2024,Congress dedicated to CAD CAM Restorations in Aesthetic Dentistry. Organized by the Digital Dentistry Society,Public,once a year,http://digital-dentistry.org/activity/cad-cam-ceramic-restorations-in-esthetic-dentistry,info@digital-dentistry.org,True,2024-03-01,1,"Mississauga, ON",Mississauga,ON,Canada
NDSS SYMPOSIUM 2024,Annual Network & Distributed System Security Symposium,Public,once a year,http://www.ndss-symposium.org/,isoc@isoc.org,False,2024-02-26,5,Catamaran Resort Hotel & Spa,San Diego,CA,USA
BIO CEO & INVESTOR CONFERENCE 2024,Biotechnology's Annual Investor Forum,Public,once a year,http://www.bio.org/events/bio-ceo-investor-conference,investinbio@bio.org,False,2024-02-26,2,Marriott Marquis Hotel,New York,NY,USA
JEWELERS INTERNATIONAL SHOWCASE - JIS MIAMI 2024,International Jewelry Tradeshow,Public,3 times a year,http://www.jisshow.com/,jisshow@reedexpo.com,True,2024-03-01,1,Miami Beach Convention Center,Miami,FL,USA
GOODGUYS ALL AMERICAN GET-TOGETHER PLEASANTON 2024,"Finest Car Fair in California. GOODGUYS ALL AMERICAN GET-TOGETHER PLEASANTON features attractive hot rods, muscle automobiles, classic vehicles, vintage models, trucks, Tools & kits, Street machines, automotive, used cars, customized personal vehicles",Public,once a year,http://www.good-guys.com/,,True,2024-03-01,1,,,,USA
AGROBAJA 2024,"AgroBaja is the only livestock, fishery & agricultural exhibition that takes place in the borderline between Mexico and the United States",Public,once a year,http://www.agrobaja.com/,info@agrobaja.com,True,2024-03-01,1,Campo de exposición Agrobaja,Mexicali,,Mexico
AGRESTE TEX 2024,Trade fair for players in the textile and clothing market,Public,every 2 years,http://agrestetex.fcem.com.br/,comunicacao@fcem.com.br,True,2024-03-01,1,Polo Caruaru,Caruaru,,Brazil
CINCINNATI. HOME + GARDEN SHOW 2024,"Cincinnati, OH Home & Garden Show. Innovative Products and Hundreds of Experts all Under One Roof",Public,once a year,http://cincinnatihomeandgardenshow.com/,tysonk@mpeshows.com,False,2024-02-29,4,,,,USA
EMERALD CITY COMICON 2024,Emerald City Comicon is the Premier Comic Book & Pop Culture Convention in the Pacific Northwest,Public,once a year,http://www.emeraldcitycomicon.com/,info@emeraldcitycomicon.com,False,2024-02-29,4,Seatle Convention Center,Seattle,WA,USA
SUBSEA TIEBACK FORUM 2024,Sub sea Tieback Forum. The annual Subsea Tieback Forum & Exhibition has become the premier event for one of the fastest growing sectors of the oil and gas industry,Public,once a year,http://www.subseatiebackforum.com/,,False,2024-02-27,3,Henry B. Gonzalez Convention Center,San Antonio,TX,USA
JACKSON GUN SHOW 2024,"Guns & Knives show. JACKSON GUN SHOW features shooting rifles, pistol, combat knives, samurai swords, cartridges, gun magazines, collectibles shotguns, hunting & fishing accessories, carbines, self protection items, outdoor training and gun parts",Public,once a year,http://www.bigpopgunshows.com/services,bigpopfireworks@gmail.com,True,2024-03-01,1,Wahabi Shriners Center,Jackson,MS,USA
"ENGINE LEASING, TRADING AND FINANCE - AMERICAS 2024","""Engine Leasing, Trading & Finance Europe"" is the pre-eminent conference for the engine leasing community, bringing together lessors, airlines, MROs, OEMs, consultancies and financiers to discuss the latest trends and issues in the industry",Public,once a year,http://www.aeroenginesusa.com/en/ELTF-Americas/About-ELTF-Americas.html,virginia.gongora@aviationweek.com,False,2024-02-28,3,"JW Marriott Turnberry, Miami, FL",Miami,FL,USA
VINEXPO AMERICA 2024,"Vinexpo America focuses exclusively on wines, with representation from all of the world’s top-producing regions",Public,once a year,http://www.vinexpoamerica.com/,bkier@divcom.com,False,2024-02-28,2,,,,USA
MIM 2024,"International Conference on Injection Molding of Metals, Ceramics and Carbides",Public,every 2 years,http://www.mpif.org/,jadams@mpif.org,False,2024-02-26,3,Hilton Raleigh North Hills,Raleigh,NC,USA
INFORMATICA CUBA 2024,"International Informatics, Industrial Automation and Communications Exhibition and Conference",Public,every 2 years,http://www.mincom.gob.cu/en/noticia/inform%C3%A1tica-2022-technologies-development-and-transformation-cuba-and-world,informaticahabana@mic.cu,True,2024-03-01,1,Palacio de Convenciones de la Habana,Havana,,Cuba
SHE SAID YES: WEDDING EXPO 2024,"Wedding Expo + wedding fashion shows. You'll have the opportunity to meet our vendors that include DJ's, photographers, videographers, florists, bakers, and so much more!",Public,once a year,http://www.fredericksburgexpocenter.com/,events@fred-center.com,False,2024-02-25,1,,,,USA
GOODGUYS DEL MAR NATIONALS 2024,"Finest Car Fair in Del Mar. GOODGUYS DEL MAR NATIONALS features attractive hot rods, muscle automobiles, classic vehicles, vintage models, trucks, Tools & kits, Street machines, automotive, used cars, customized personal vehicles",Public,once a year,http://www.good-guys.com/,,True,2024-03-01,1,Del Mar Fairgrounds,Del Mar,CA,USA
CAPITAL CITY GUN SHOW 2024,"Guns & Knives show. CAPITAL CITY GUN SHOW presents all types of firearms, combat knives & swords, rifle spokes, laser sights, hunting gears, muzzle loading, cartridges, holsters, knife sharpening tools, self defense training at Discount Prices",Public,once a year,http://www.bigpopgunshows.com/services,bigpopfireworks@gmail.com,True,2024-03-01,1,Wahabi Shriners Center,Jackson,MS,USA
DUG MIDCONTINENT 2024,Conference & expo focusing on the gas industry's business challenges and opportunities in identifying and developing unconventional resources,Public,every 2 years,http://www.hartenergyconferences.com/dug-midcontinent,info@hartenergy.com,True,2024-03-01,1,Cox Convention Center,Oklahoma City,OK,USA
BC BOAT & SPORTSMEN'S SHOW 2024,"Boat and Fishing Show. BC Boat & Sportsmen’s Show features the latest Boat & Fishing products, Fishing Retailers & Manufacturers, Boats of all sizes, Motors & Trailers, Camping Gear & Outdoor Products, Lodges & Resorts, ATV’s & Accessories, Hunting Gear",Public,once a year,http://www.bcboatandsportsmenshow.ca/,info@squarefeetevents.ca,False,2024-03-01,3,,,,Canada
CERVEFEST MÉXICO 2024,"Mexico City International Beer Fair. It is the ideal family, cultural, musical and business space to enjoy the best and most complete Beer Fair in Mexico",Public,once a year,http://www.cervefest.com.mx/,boletos@cervefest.com.mx,True,2024-03-01,1,Club Xochimilco Acalli,Mexico City,,Mexico
BC SPORTSMEN'S SHOW 2024,"British Columbia’s largest boating, fishing, hunting and sportsmen’s show",Public,once a year,http://www.bcsportsmenshow.ca/,info@masterpromotions.ca,False,2024-03-01,3,,,,Canada
ACCESS MBA - OTTAWA 2024,ACCESS MBA is a communication campaign specifically designed to better inform prospective students of existing MBA opportunities. ACCESS MBA is a series of events organised around the world,Public,twice a year,http://www.accessmba.com/tour,coutat@advent-communication.net,True,2024-03-01,1,"Ottawa, ON",Ottawa,ON,Canada
ACCESS MBA - MIAMI 2024,ACCESS MBA is a communication campaign specifically designed to better inform prospective students of existing MBA opportunities. ACCESS MBA is a series of events organised around the world,Public,twice a year,http://www.accessmba.com/tour,coutat@advent-communication.net,True,2024-03-01,1,"Miami, FL",Miami,FL,USA
KBIS - KITCHEN & BATH INDUSTRY SHOW 2024,Kitchen / Bath Industry trade show & conference,Public,once a year,http://www.kbis.com/,kbis@experient-inc.com,False,2024-02-27,3,"Las Vegas, NV",Las Vegas,NV,USA
BABY & MATERNITY EXPO MOBILE 2024,"BABY & MATERNITY EXPO MOBILE features all baby products, clinical advice on maternity, natural parenting workshops, child life services, neonatal care, yoga for pregnant. pediatrics",Public,once a year,http://www.babypalooza.com/,,True,2024-03-01,1,Mobile Civic Center,Mobile,AL,USA
GOODGUYS SPRING NATIONALS SCOTTSDALE 2024,"Finest Car Fair in Scottsdale. GOODGUYS SPRING NATIONALS SCOTTSDALE features attractive hot rods, muscle automobiles, classic vehicles, vintage models, trucks, Tools & kits, Street machines, automotive, used cars, customized personal vehicles",Public,once a year,http://www.good-guys.com/,,True,2024-03-01,1,,,,USA
GOODGUYS SPRING LONE STAR NATIONALS FORT WORTH 2024,"Finest Car Fair in Texas. GOODGUYS SPRING LONE STAR NATIONALS FORT WORTH features attractive hot rods, muscle automobiles, classic vehicles, vintage models, trucks, Tools & kits, Street machines, automotive, used cars, customized personal vehicles",Public,once a year,http://members.good-guys.com/cgi/page.cgi/_evtcal.html?evt=302,,True,2024-03-01,1,Texas Motor Speedway,Fort Worth,TX,USA
AEROXCHANGE ANNUAL CONFERENCE 2024,The Aeroxchange Conference is where top industry professionals come together to navigate the future of aviation supply chain & MRO business processes,Public,once a year,http://www.aeroxchange.com/,sales@aeroxchange.com,False,2024-02-26,4,,,,USA
PA HOME + GARDEN SHOW 2024,"PA Home + Garden Show is the place to experience an abundance of design inspiration, remodelling tips and new ideas",Public,once a year,http://www.pahomeshow.com/,rosannah@marketplaceevents.com,False,2024-02-29,4,,,,USA
INTERNATIONAL BUILDER'S SHOW 2024,Home Building and Construction Exposition,Public,once a year,http://www.buildersshow.com/,info@nahb.com,False,2024-02-27,3,"Las Vegas, NV",Las Vegas,NV,USA
ENERGY CAPITAL CONFERENCE 2024,Energy Capital Conference addresses effective strategies for oil and gas executives interested in expanding their knowledge of how to successfully access and deploy capital,Public,once a year,http://www.hartenergy.com/events,registration@hartenergy.com,False,2024-09-23,1,"The Fairmont Hotel, Dallas",Dallas,TX,USA
ANDINATRAFFIC 2024,International trade show and conferences for traffic management,Public,every 2 years,http://www.andinatraffic.com/,info@sofexamericas.com,False,2024-03-11,2,Sheraton Bogotá,Bogotá,,Colombia
DRINKS AMERICA 2024,"Drinks America features a wide array of spirits, beer, RTDs and sake from producers across the globe as well as beverage alcohol accessories and services",Public,once a year,http://www.drinksamerica.com/,bkier@divcom.com,False,2024-02-28,2,,,,USA
NATIONAL BRIDAL MARKET CHICAGO 2024,"Bridal Expo. National Bridal Market Chicago™ is the leading show for all your bridal & special occasion needs, offering the latest styles from the industry's top manufactures of bridal gowns & bridesmaids gowns",Public,twice a year,http://www.themart.com/shows-and-events,propertymanager@themart.com,True,2024-03-01,1,The Mart,Chicago,IL,USA
MOTORCYCLE & POWERSPORT ATLANTIC 2024,Motorcycle and Powersport Event,Public,once a year,http://www.bikeatlantic.ca/,info@masterpromotions.ca,False,2024-03-01,3,Halifax Exhibition Centre,Halifax,NS,Canada
EXPOAGRO ARGENTINA 2024,International Open Air Farming Show with Machinery in Action,Public,once a year,http://ifw-expo.de/en/exhibitions,info@expoagro.com.ar,False,2024-03-05,4,Predio Ferial y Autódromo de San Nicolás,San Nicolás de los Arroyos,,Argentina
THE FRANCHISE EXPO - HALIFAX 2024,North America's Franchise & Business Opportunities Event. THE FRANCHISE EXPO showcases the fastest growing franchises & business opportunities with thousands of potential franchisees & business partners eager ready to invest,Public,once a year,http://www.franchiseshowinfo.com/halifax/visitor,info@nationalevent.com,False,2024-03-02,2,Halifax Exhibition Centre,Halifax,NS,Canada
PDAC CONVENTION 2024,"International Convention, Trade Show & Investors Exchange - Mining Investment Show",Public,once a year,http://www.pdac.ca/convention,convention@pdac.ca,False,2024-03-03,4,,,,Canada
QUAD CITY REGIONAL AUTO SHOW 2024,"Auto Show in Davenport. Quad City Regional Auto Show will present a wide selection of manufacturer's new-model vehicles, trucks, and SUVS and a collection of high-end exotic vehicles from Maserati, Bentley and Rolls-Royce",Public,once a year,http://quadcityautoshow.com/,lisa.gelb@primedia.com,False,2024-03-01,3,Bend Xpo,East Moline,IL,USA
THE FRANCHISE EXPO - LOS ANGELES 2024,North America's Franchise & Business Opportunities Event. THE FRANCHISE EXPO showcases the fastest growing franchises & business opportunities with thousands of potential franchisees & business partners eager ready to invest,Public,once a year,http://www.franchiseshowinfo.com/los-angeles-visitor,info@nationalevent.com,True,2024-03-01,1,Pasadena Convention Center,Pasadena,CA,USA
PRAIRIE GOLF SHOW 2024,Golf Show in Manitoba,Public,once a year,http://www.canadiangolfexpo.ca/events/prairie-golfexpo,gchambers@ngcoa.ca,True,2024-03-01,1,"Winnipeg, MB",Winnipeg,MB,Canada
THE FRANCHISE EXPO - WASHINGTON D.C. 2024,North America's Franchise & Business Opportunities Event. THE FRANCHISE EXPO showcases the fastest growing franchises & business opportunities with thousands of potential franchisees & business partners eager ready to invest,Public,once a year,http://www.franchiseshowinfo.com/dcn-virginia/visitor,info@nationalevent.com,False,2024-03-02,2,Dulles Expo & Conference Center,Fairfax,VA,USA
THE EVERYTHING TO DO WITH SEX SHOW - SASKATOON 2024,"Exhibition dedicated to Love and Seduction. The Everything To Do With Sex Show is the perfect forum to test, demonstrate, research, reinforce, advertise, sample, monitor, measure and evaluate results and, of course, SELL!",Public,once a year,http://tabooshow.com/Saskatoon,tickets@canwestproductions.com,False,2024-03-01,3,Prairieland Park,Saskatoon,SK,Canada
LEHIGH VALLEY FLOWER SHOW 2024,"Flower Show in Pennsylvania. Lehigh Valley Flower Show features many landscape installations, a wide variety of handmade lawn ornament, crafts, decorations, greenhou, garden equipment, garden tools & accessories, pool & spa, renewable energy, wine cellar",Public,once a year,http://lehighvalleyflowershow.com/,bmcloughlin@bmg1.com,True,2024-03-01,1,,,,USA
ROCK ‘N’ ROLL NEW ORLEANS 2024,"The event offers 3 distances, Marathon, Half Marathon and 10K, so that everyone can enjoy the biggest running party in the country",Public,once a year,http://www.runrocknroll.com/new-orleans,exposales@runrocknroll.com,True,2024-03-01,1,"New Orleans, LA",New Orleans,LA,USA
ASI SHOW FORT WORTH 2024,"Regional Networking Event & Exhibition for the Advertizing Industry Professionals in Fort Worth. ASI SHOW FORT WORTH brings together suppliers, decorators and distributors within the advertising specialty industry",Public,once a year,http://www.asishow.com/,ideas@asicentral.com,False,2024-03-04,3,Fort Worth Convention Center,Fort Worth,TX,USA
RNMP - RODADA DE NEGÓCIOS DA MODA PERNAMBUCANA 2024,RNMP is a commercial event held with the sole purpose of identifying profitable opportunities between buyers and exhibitors,Public,twice a year,http://www.rnmp.com.br/,marketing@rnmp.com.br,False,2024-03-04,3,Polo Caruaru,Caruaru,,Brazil
HEALTHY FOOD EXPO - NEW YORK 2024,"Healthy Food Expo has been established to serve the consumer interest and demand with healthy menu items, nutritional information, food safety and preparation techniques",Public,once a year,http://www.healthyfoodexpony.com/,info@clarionevents.com,False,2024-03-03,3,,,,USA
TACOMA REMODELING EXPO 2024,"Home Remodeling Expo. Tacoma Remodeling Expo offers an unparalleled opportunity to speak directly with local and national experts and receive extremely valuable information- all in one place, all under one roof. Every aspect of the home is addressed",Public,once a year,http://www.homeshowcenter.com/overview/tacomahome,info@homeshowcenter.com,False,2024-03-01,3,Greater Tacoma Convention & Trade Center,Tacoma,WA,USA
